Date,Open,High,Low,Close,Adj Close,Volume
2022-05-17,143.050003,148.000000,142.800003,146.550003,141.028503,115775
2022-05-18,146.550003,149.149994,145.750000,146.250000,140.739807,88300
2022-05-19,143.449997,145.000000,140.000000,141.449997,136.120651,56037
2022-05-20,149.000000,154.500000,146.000000,153.149994,147.379837,283020
2022-05-23,154.000000,171.000000,151.649994,163.449997,157.291779,725791
2022-05-24,164.300003,166.000000,152.500000,154.699997,148.871445,147477
2022-05-25,152.000000,157.050003,146.649994,147.850006,142.279526,127342
2022-05-26,148.500000,154.000000,143.500000,152.600006,146.850571,134631
2022-05-27,153.399994,157.750000,150.199997,151.399994,145.695786,117785
2022-05-30,151.100006,157.000000,151.100006,154.250000,148.438400,103814
2022-05-31,154.500000,156.199997,153.149994,153.750000,147.957245,52083
2022-06-01,154.550003,157.899994,152.149994,155.800003,149.930008,100017
2022-06-02,156.600006,159.550003,154.500000,158.500000,152.528290,71054
2022-06-03,159.300003,160.000000,156.250000,156.649994,150.747955,50193
2022-06-06,156.949997,158.500000,151.500000,157.350006,151.421616,50936
2022-06-07,158.149994,159.100006,152.000000,152.850006,147.091141,53730
2022-06-08,155.949997,156.000000,148.100006,149.149994,143.530563,133480
2022-06-09,149.899994,153.899994,148.250000,151.000000,145.310852,72662
2022-06-10,150.899994,151.699997,148.500000,149.449997,143.819244,71730
2022-06-13,149.000000,149.000000,140.100006,141.750000,136.409348,131192
2022-06-14,142.500000,144.399994,133.649994,135.000000,129.913681,186096
2022-06-15,135.699997,141.100006,133.899994,135.199997,130.106140,170860
2022-06-16,136.199997,139.800003,130.100006,132.000000,127.026703,110697
2022-06-17,132.000000,132.000000,126.099998,130.899994,125.968147,127380
2022-06-20,130.899994,131.399994,124.050003,124.900002,120.194206,81497
2022-06-21,126.349998,131.500000,124.500000,129.250000,124.380310,81056
2022-06-22,129.399994,129.600006,126.150002,126.849998,122.070732,46489
2022-06-23,127.449997,130.500000,126.849998,128.850006,123.995392,49633
2022-06-24,129.399994,131.750000,129.000000,130.149994,125.246399,73266
2022-06-27,133.699997,134.550003,130.600006,131.649994,126.689896,64164
2022-06-28,132.199997,133.250000,129.050003,132.699997,127.700325,46302
2022-06-29,132.250000,136.000000,131.050003,134.649994,129.576843,83942
2022-06-30,135.350006,139.199997,134.000000,134.949997,129.865555,67046
2022-07-01,135.649994,135.899994,133.250000,135.100006,130.009918,24965
2022-07-04,135.000000,141.899994,134.050003,140.600006,135.302689,101172
2022-07-05,141.350006,141.949997,136.350006,137.350006,132.175140,44679
2022-07-06,137.350006,140.699997,135.000000,136.399994,131.260925,75812
2022-07-07,137.100006,139.800003,136.199997,139.199997,133.955429,42467
2022-07-08,139.000000,142.500000,138.649994,140.449997,135.158340,68107
2022-07-11,140.899994,142.500000,139.500000,141.600006,136.265015,44325
2022-07-12,142.149994,144.000000,140.850006,141.500000,136.168777,68778
2022-07-13,142.000000,144.350006,141.050003,142.149994,136.794281,54636
2022-07-14,142.550003,145.949997,141.000000,143.699997,138.285889,79215
2022-07-15,144.449997,148.000000,143.550003,147.000000,141.461563,66523
2022-07-18,148.399994,153.600006,148.399994,152.250000,146.513748,126314
2022-07-19,152.949997,155.149994,151.100006,153.250000,147.476074,110855
2022-07-20,153.600006,157.199997,153.600006,156.550003,150.651749,153501
2022-07-21,156.000000,162.449997,155.899994,162.050003,155.944519,206121
2022-07-22,161.800003,165.000000,156.850006,162.050003,155.944519,173678
2022-07-25,160.199997,162.399994,155.100006,156.100006,150.218704,96144
2022-07-26,155.000000,162.550003,154.649994,156.850006,150.940460,86045
2022-07-27,156.850006,161.550003,154.199997,160.500000,154.452927,115510
2022-07-28,161.800003,167.500000,159.100006,164.250000,158.061630,162053
2022-07-29,165.000000,166.750000,161.649994,164.050003,157.869186,117227
2022-08-01,164.899994,171.699997,163.899994,167.449997,161.141068,213765
2022-08-02,168.600006,168.949997,166.000000,167.399994,161.092957,103593
2022-08-03,164.000000,165.350006,161.199997,162.649994,158.894897,69120
2022-08-04,162.699997,166.399994,157.000000,164.850006,163.558075,147762
2022-08-05,164.800003,166.050003,160.100006,161.100006,159.837463,91815
